rebalance_date,entry_date,exit_date,n_long,n_short,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2024-05-16 00:00:00+00:00,2024-05-17 00:00:00+00:00,2024-05-24 00:00:00+00:00,12,12,0.02572669972588214,0.20833333333333331,16.041093704460987,25665.749927137582,26310.00387504817,644.2539479105872
2024-05-23 00:00:00+00:00,2024-05-24 00:00:00+00:00,2024-05-31 00:00:00+00:00,12,12,0.018720910437817935,0.08333333333333333,6.577500968762042,26310.00387504817,26795.973600242825,485.96972519465635
2024-05-30 00:00:00+00:00,2024-05-31 00:00:00+00:00,2024-06-07 00:00:00+00:00,12,12,-0.0029239149438524663,0.041666666666666664,3.349496700030353,26795.973600242825,26714.27495589797,-81.69864434485498
2024-06-06 00:00:00+00:00,2024-06-07 00:00:00+00:00,2024-06-14 00:00:00+00:00,12,12,0.011508978676631202,0.16666666666666666,13.357137477948983,26714.27495589797,27008.371839249114,294.09688335114333
2024-06-13 00:00:00+00:00,2024-06-14 00:00:00+00:00,2024-06-21 00:00:00+00:00,12,12,0.030196537499690437,0.08333333333333333,6.752092959812279,27008.371839249114,27817.179059338767,808.8072200896531
2024-06-20 00:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-28 00:00:00+00:00,12,12,-0.009115604115948809,0.12499999999999999,10.431442147252037,27817.179059338767,27553.17722526412,-264.00183407464647
2024-06-27 00:00:00+00:00,2024-06-28 00:00:00+00:00,2024-07-05 00:00:00+00:00,12,12,0.047361525922217165,0.08333333333333333,6.88829430631603,27553.17722526412,28851.249448351595,1298.0722230874744
2024-07-04 00:00:00+00:00,2024-07-05 00:00:00+00:00,2024-07-12 00:00:00+00:00,12,12,-0.013732219591061837,0.12499999999999999,10.819218543131846,28851.249448351595,28444.238536907196,-407.0109114443985
2024-07-11 00:00:00+00:00,2024-07-12 00:00:00+00:00,2024-07-19 00:00:00+00:00,12,12,-0.041271623691906026,0.08333333333333333,7.111059634226799,28444.238536907196,27263.187568174922,-1181.0509687322738
2024-07-18 00:00:00+00:00,2024-07-19 00:00:00+00:00,2024-07-26 00:00:00+00:00,12,12,-0.00749457947473196,0.08333333333333333,6.815796892043731,27263.187568174922,27052.045645318667,-211.1419228562554
2024-07-25 00:00:00+00:00,2024-07-26 00:00:00+00:00,2024-08-02 00:00:00+00:00,12,12,0.03145019457313723,0.08333333333333333,6.763011411329667,27052.045645318667,27896.074733053996,844.0290877353291
2024-08-01 00:00:00+00:00,2024-08-02 00:00:00+00:00,2024-08-09 00:00:00+00:00,12,12,0.009544375065460556,0.08333333333333333,6.974018683263499,27896.074733053996,28155.351314477113,259.276581423117
2024-08-08 00:00:00+00:00,2024-08-09 00:00:00+00:00,2024-08-16 00:00:00+00:00,12,12,0.01565658819589565,0.20833333333333334,17.597094571548197,28155.351314477113,28578.5709609471,423.2196464699882
2024-08-15 00:00:00+00:00,2024-08-16 00:00:00+00:00,2024-08-23 00:00:00+00:00,12,12,0.006179739971369148,0.08333333333333333,7.144642740236775,28578.5709609471,28748.03445549884,169.46349455173913
2024-08-22 00:00:00+00:00,2024-08-23 00:00:00+00:00,2024-08-30 00:00:00+00:00,12,12,0.00132455557874011,0.041666666666666664,3.593504306937355,28748.03445549884,28782.519320607746,34.48486510890507
2024-08-29 00:00:00+00:00,2024-08-30 00:00:00+00:00,2024-09-06 00:00:00+00:00,12,12,-0.0005683105910405306,0.041666666666666664,3.597814915075968,28782.519320607746,28762.564095125937,-19.955225481808156
2024-09-05 00:00:00+00:00,2024-09-06 00:00:00+00:00,2024-09-13 00:00:00+00:00,12,12,-0.0001081454174598059,0.0,0.0,28762.564095125937,28759.453555624656,-3.1105395012818917
2024-09-12 00:00:00+00:00,2024-09-13 00:00:00+00:00,2024-09-20 00:00:00+00:00,12,12,-0.0185470053179496,0.08333333333333333,7.189863388906163,28759.453555624656,28218.86195419825,-540.5916014264039
2024-09-19 00:00:00+00:00,2024-09-20 00:00:00+00:00,2024-09-27 00:00:00+00:00,12,12,-0.02089725621404622,0.041666666666666664,3.527357744274781,28218.86195419825,27625.637808128293,-593.2241460699588
2024-09-26 00:00:00+00:00,2024-09-27 00:00:00+00:00,2024-10-04 00:00:00+00:00,12,12,0.004407068206424669,0.08333333333333333,6.906409452032072,27625.637808128293,27740.479468742662,114.84166061436918
2024-10-03 00:00:00+00:00,2024-10-04 00:00:00+00:00,2024-10-11 00:00:00+00:00,12,12,0.021007672837044463,0.08333333333333333,6.935119867185665,27740.479468742662,28316.307265897573,575.8277971549105
2024-10-10 00:00:00+00:00,2024-10-11 00:00:00+00:00,2024-10-18 00:00:00+00:00,12,12,-0.02771242413080068,0.041666666666666664,3.5395384082371963,28316.307265897573,27528.05421071871,-788.2530551788623
2024-10-17 00:00:00+00:00,2024-10-18 00:00:00+00:00,2024-10-25 00:00:00+00:00,13,13,0.005679158401751208,0.07692307692307684,6.352627894781234,27528.05421071871,27678.037763178596,149.9835524598857
2024-10-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,2024-11-01 00:00:00+00:00,13,13,0.011741643720259601,0.07692307692307693,6.387239483810445,27678.037763178596,27996.636181985916,318.59841880731983
2024-10-31 00:00:00+00:00,2024-11-01 00:00:00+00:00,2024-11-08 00:00:00+00:00,13,13,-0.01154314253542641,0.07692307692307693,6.4607621958429045,27996.636181985916,27667.006257828933,-329.6299241569832
2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,2024-11-15 00:00:00+00:00,13,13,-0.015245273895276844,0.15384615384615385,12.769387503613356,27667.006257828933,27232.44578206238,-434.5604757665533
2024-11-14 00:00:00+00:00,2024-11-15 00:00:00+00:00,2024-11-22 00:00:00+00:00,13,13,0.019795140795086347,0.07692307692307693,6.284410565091319,27232.44578206238,27765.231469947765,532.7856878853854
2024-11-21 00:00:00+00:00,2024-11-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,13,13,0.06761770565899702,0.11538461538461539,9.611041662674227,27765.231469947765,29633.04167737394,1867.810207426177
2024-11-28 00:00:00+00:00,2024-11-29 00:00:00+00:00,2024-12-06 00:00:00+00:00,13,13,0.1104030196158728,0.11538461538461539,10.257591349860212,29633.04167737394,32894.36136760917,3261.3196902352283
2024-12-05 00:00:00+00:00,2024-12-06 00:00:00+00:00,2024-12-13 00:00:00+00:00,13,13,0.01831948794711591,0.11538461538461539,11.386509704172406,32894.36136760917,33485.58271450699,591.2213468978225
2024-12-12 00:00:00+00:00,2024-12-13 00:00:00+00:00,2024-12-20 00:00:00+00:00,13,13,0.011487256746746185,0.11538461538461539,11.591163247329344,33485.58271450699,33858.64903721561,373.0663227086188
2024-12-19 00:00:00+00:00,2024-12-20 00:00:00+00:00,2024-12-27 00:00:00+00:00,13,13,0.009524906347785623,0.11538461538461539,11.720301589805405,33858.64903721561,34169.42919676782,310.78015955221053
2024-12-26 00:00:00+00:00,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,13,13,-0.03192686428928854,0.07692307692307693,7.885252891561806,34169.42919676782,33070.621215068604,-1098.8079816992176
2025-01-02 00:00:00+00:00,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,13,13,0.029793019109114284,0.07692307692307693,7.631681818861986,33070.621215068604,34048.26318306056,977.6419679919563
2025-01-09 00:00:00+00:00,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,13,13,0.003785683202873288,0.07692307692307693,7.857291503783206,34048.26318306056,34169.3018295759,121.0386465153424
2025-01-16 00:00:00+00:00,2025-01-17 00:00:00+00:00,2025-01-24 00:00:00+00:00,13,13,0.009275938177683015,0.15384615384615385,15.770446998265802,34169.3018295759,34470.48371392338,301.1818843474757
2025-01-23 00:00:00+00:00,2025-01-24 00:00:00+00:00,2025-01-31 00:00:00+00:00,13,13,0.03987911744584477,0.15384615384615385,15.909454021810793,34470.48371392338,35829.2267283442,1358.7430144208192
2025-01-30 00:00:00+00:00,2025-01-31 00:00:00+00:00,2025-02-07 00:00:00+00:00,14,14,0.02447752547195502,0.2142857142857142,23.03307432536412,35829.2267283442,36683.20446390232,853.9777355581246
2025-02-06 00:00:00+00:00,2025-02-07 00:00:00+00:00,2025-02-14 00:00:00+00:00,14,14,0.015086435614259402,0.10714285714285712,11.791030006254315,36683.20446390232,37224.83223616544,541.6277722631203
2025-02-13 00:00:00+00:00,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,14,14,-0.050265095166291886,0.10714285714285712,11.965124647338891,37224.83223616544,35341.757376618,-1883.0748595474433
2025-02-20 00:00:00+00:00,2025-02-21 00:00:00+00:00,2025-02-28 00:00:00+00:00,14,14,-0.007653436710266525,0.10714285714285712,11.359850585341498,35341.757376618,35059.91162272111,-281.8457538968869
2025-02-27 00:00:00+00:00,2025-02-28 00:00:00+00:00,2025-03-07 00:00:00+00:00,14,14,0.032904176908778976,0.21428571428571422,22.538514614606424,35059.91162272111,36190.990642546676,1131.0790198255636
2025-03-06 00:00:00+00:00,2025-03-07 00:00:00+00:00,2025-03-14 00:00:00+00:00,14,14,-0.006544854767224243,0.10714285714285712,11.632818420818573,36190.990642546676,35942.49304648842,-248.49759605825966
2025-03-13 00:00:00+00:00,2025-03-14 00:00:00+00:00,2025-03-21 00:00:00+00:00,14,14,0.00289599171050178,0.10714285714285712,11.552944193514133,35942.49304648842,36035.0292642123,92.53621772388578
2025-03-20 00:00:00+00:00,2025-03-21 00:00:00+00:00,2025-03-28 00:00:00+00:00,14,14,-0.016458123958914904,0.10714285714285712,11.582687977782523,36035.0292642123,35430.37759774099,-604.6516664713126
2025-03-27 00:00:00+00:00,2025-03-28 00:00:00+00:00,2025-04-04 00:00:00+00:00,14,14,0.02037987750707969,0.07142857142857142,7.592223770944497,35430.37759774099,36144.852129441584,714.4745317005945
2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,2025-04-11 00:00:00+00:00,14,14,-0.005213625840350658,0.10714285714285712,11.617988184463364,36144.852129441584,35944.788406199405,-200.06372324217955
2025-04-10 00:00:00+00:00,2025-04-11 00:00:00+00:00,2025-04-18 00:00:00+00:00,14,14,-0.02509004583121667,0.10714285714285712,11.55368198770695,35944.788406199405,35031.378335706766,-913.4100704926386
2025-04-17 00:00:00+00:00,2025-04-18 00:00:00+00:00,2025-04-25 00:00:00+00:00,14,14,-0.020343146811125246,0.14285714285714282,15.013447858160038,35031.378335706766,34303.71641536925,-727.6619203375158
2025-04-24 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-02 00:00:00+00:00,14,14,-0.03528825873698843,0.10714285714285712,11.026194562082972,34303.71641536925,33082.17180030134,-1221.5446150679127
2025-05-01 00:00:00+00:00,2025-05-02 00:00:00+00:00,2025-05-09 00:00:00+00:00,14,14,-0.004433904995312902,0.14285714285714282,14.17807362870057,33082.17180030134,32921.31051987148,-160.86128042986093
2025-05-08 00:00:00+00:00,2025-05-09 00:00:00+00:00,2025-05-16 00:00:00+00:00,14,14,0.011335259301004156,0.17857142857142852,17.636416349931142,32921.31051987148,33276.84569479316,355.5351749216861
2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-23 00:00:00+00:00,14,14,-0.008726980866426471,0.10714285714285712,10.696128973326372,33276.84569479316,32975.74317014635,-301.1025246468125
2025-05-22 00:00:00+00:00,2025-05-23 00:00:00+00:00,2025-05-30 00:00:00+00:00,14,14,-0.009101088625038027,0.07142857142857142,7.066230679317075,32975.74317014635,32668.561778399042,-307.1813917473082
2025-05-29 00:00:00+00:00,2025-05-30 00:00:00+00:00,2025-06-06 00:00:00+00:00,14,14,0.03178867416991792,0.14285714285714282,14.000812190742444,32668.561778399042,33693.05123218166,1024.4894537826149
2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,2025-06-13 00:00:00+00:00,14,14,0.022855238755706372,0.03571428571428571,3.609969774876606,33693.05123218166,34459.50399272654,766.452760544882
2025-06-12 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-20 00:00:00+00:00,14,14,0.006887916598846881,0.03571428571428571,3.6920897135064146,34459.50399272654,34693.166092552565,233.66209982602595
2025-06-19 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-27 00:00:00+00:00,14,14,-0.006425515032109208,0.07142857142857142,7.43424987697555,34693.166092552565,34462.81038243643,-230.35571011613501
2025-06-26 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-07-04 00:00:00+00:00,14,14,-0.005270605422416668,0.10714285714285712,11.077331908640279,34462.81038243643,34270.0931752544,-192.71720718203142
