date,nasdaq,sma200_prior,risk_on_signal_close,risk_on_actionable
1997-03-25 00:00:00+00:00,1248.06,1237.6519500000002,True,True
1997-03-26 00:00:00+00:00,1269.08,1237.74205,True,True
1997-03-27 00:00:00+00:00,1249.51,1237.93365,True,True
1997-03-31 00:00:00+00:00,1221.7,1238.00385,False,True
1997-04-01 00:00:00+00:00,1216.93,1237.9841000000001,False,False
1997-04-02 00:00:00+00:00,1201.0,1238.00285,False,False
1997-04-03 00:00:00+00:00,1213.76,1237.96965,False,False
1997-04-04 00:00:00+00:00,1236.73,1238.1230500000001,False,False
1997-04-07 00:00:00+00:00,1251.35,1238.4103499999999,True,False
1997-04-08 00:00:00+00:00,1257.37,1238.8303999999998,True,True
1997-04-09 00:00:00+00:00,1249.43,1239.2400499999999,True,True
1997-04-10 00:00:00+00:00,1235.77,1239.5727,False,True
1997-04-11 00:00:00+00:00,1206.9,1239.88865,False,False
1997-04-14 00:00:00+00:00,1216.41,1240.1567,False,False
1997-04-15 00:00:00+00:00,1212.88,1240.4087,False,False
1997-04-16 00:00:00+00:00,1210.27,1240.548,False,False
1997-04-17 00:00:00+00:00,1217.07,1240.6120999999998,False,False
1997-04-18 00:00:00+00:00,1222.57,1240.7417,False,False
1997-04-21 00:00:00+00:00,1203.95,1240.94655,False,False
1997-04-22 00:00:00+00:00,1212.74,1241.17455,False,False
1997-04-23 00:00:00+00:00,1227.14,1241.49415,False,False
1997-04-24 00:00:00+00:00,1228.1,1241.8619,False,False
1997-04-25 00:00:00+00:00,1209.29,1242.29645,False,False
1997-04-28 00:00:00+00:00,1217.03,1242.8111,False,False
1997-04-29 00:00:00+00:00,1242.63,1243.3788,False,False
1997-04-30 00:00:00+00:00,1260.76,1244.291,True,False
1997-05-01 00:00:00+00:00,1270.5,1245.32745,True,True
1997-05-02 00:00:00+00:00,1305.33,1246.2467,True,True
1997-05-05 00:00:00+00:00,1339.24,1247.22425,True,True
1997-05-06 00:00:00+00:00,1328.3,1248.4320500000001,True,True
1997-05-07 00:00:00+00:00,1322.91,1249.6665999999998,True,True
1997-05-08 00:00:00+00:00,1330.83,1251.0358,True,True
1997-05-09 00:00:00+00:00,1335.05,1252.4781,True,True
1997-05-12 00:00:00+00:00,1344.19,1253.8414,True,True
1997-05-13 00:00:00+00:00,1333.59,1255.16515,True,True
1997-05-14 00:00:00+00:00,1335.55,1256.50075,True,True
1997-05-15 00:00:00+00:00,1353.58,1257.81875,True,True
1997-05-16 00:00:00+00:00,1340.73,1259.1837,True,True
1997-05-19 00:00:00+00:00,1341.24,1260.3931000000002,True,True
1997-05-20 00:00:00+00:00,1363.88,1261.4747,True,True
1997-05-21 00:00:00+00:00,1373.75,1262.69145,True,True
1997-05-22 00:00:00+00:00,1372.6,1263.91585,True,True
