strategy,coin,timeframe,regime,status,periods,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,total_trades,average_trade_duration_bars,calmar
dca,XRP,1d,Overall,completed_historical_backtest,3007,2.31995742636626,0.15691162020403282,0.6009935941819501,0.8323958401465107,,,100.0,,0.1885060119671125
dca,XRP,1d,Bear Trend,completed_historical_backtest,733,-0.35796875202900624,-0.19812576132266313,0.1310451140625973,0.6183987407560377,,,32.0,,-0.3203851306043086
dca,XRP,1d,Bull Trend,completed_historical_backtest,502,1.1961676479332666,0.7725245992305465,1.0487168212918982,0.4430564250406306,,,18.0,,1.7436257676653757
dca,XRP,1d,Crash/Capitulation,completed_historical_backtest,45,1.164789077004356,526.7843665917334,4.5992045484722075,0.25659520642367817,,,1.0,,2052.9782061553065
dca,XRP,1d,High Vol Expansion,completed_historical_backtest,105,1.1147793491761369,12.534984022694243,2.3430887008920904,0.6058788787716605,,,2.0,,20.688927212823906
dca,XRP,1d,Range/Chop,completed_historical_backtest,1621,-0.4856837925945672,-0.1391385262031647,0.2430971991311978,0.7398661591516196,,,46.0,,-0.18805904889975006
dca,XRP,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,XRP,8h,Overall,completed_historical_backtest,7184,-0.2795955342151185,-0.04878950427964046,-2.304391565026598,0.3004397966155885,0.14465408805031446,0.49895414327400417,159.0,4.60377358490566,-0.16239361372643463
funding_arbitrage,XRP,8h,Bear Trend,completed_historical_backtest,1634,-0.025474612471059754,-0.01715561079600869,-1.5850834254274264,0.02730220463179911,0.25,0.629469947638632,12.0,4.333333333333333,-0.6283599081968423
funding_arbitrage,XRP,8h,Bull Trend,completed_historical_backtest,1263,0.01922635335913947,0.01665926416024588,0.5682374817042924,0.06183872818879488,0.20930232558139536,0.508136572000181,43.0,4.837209302325581,0.26939855731484014
funding_arbitrage,XRP,8h,Crash/Capitulation,completed_historical_backtest,102,-0.028098489327970877,-0.26374157509681084,-8.565595750526333,0.027493111816270677,0.16666666666666666,0.27483393333447076,6.0,4.166666666666667,-9.593005581155282
funding_arbitrage,XRP,8h,High Vol Expansion,completed_historical_backtest,291,-0.03670477676889683,-0.13134638370056606,-3.5792641381085057,0.046999836412918605,0.058823529411764705,0.13366085285674742,17.0,3.411764705882353,-2.7946136353883895
funding_arbitrage,XRP,8h,Range/Chop,completed_historical_backtest,3894,-0.22530468312072627,-0.06931640474418954,-3.7187726223539608,0.22297360393252386,0.1111111111111111,0.5656683579528157,81.0,4.802469135802469,-0.31087269309763693
dca,ADA,1d,Overall,completed_historical_backtest,3024,1.617576625413224,0.12324746938517994,0.5719143139568401,0.951517194875253,,,100.0,,0.1295273170563545
dca,ADA,1d,Bear Trend,completed_historical_backtest,776,2.7611899355756178,0.8655024164257199,1.1035131377477623,0.545829250608542,,,28.0,,1.585665142461266
