coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
ETH,High Vol Expansion,funding_arbitrage,-3.34083044495241,0.03148691508821089,-0.018878097518212678,8.0
ETH,High Vol Expansion,breakout,-5.072968603785526,0.3965480662864843,-0.3965480662864843,9.0
ETH,Range/Chop,dca,1.1089064981860874,0.5179100841205162,6.281118702408288,1.0
ETH,Range/Chop,trend_following,0.8434634440305483,0.6888571119529281,2.6035549213796236,2.0
ETH,Range/Chop,breakout,0.7755203999798214,0.5678652984435469,1.7425177686873017,3.0
ETH,Range/Chop,momentum,0.48795617977236305,0.19572101388835084,0.22882465929968254,4.0
ETH,Range/Chop,statistical_arbitrage,-0.2683797673203578,0.35769513438451384,-0.3395877766882186,5.0
ETH,Range/Chop,contrarian,-0.5039827469064946,0.10306756387950733,-0.10306756387950733,6.0
ETH,Range/Chop,grid,-1.4667348491265548,0.8510522518538544,-0.7964003656935337,7.0
ETH,Range/Chop,mean_reversion,-2.1112913922551066,0.9852402550217435,-0.9812243633298532,8.0
