asset,bucket,horizon_hours,sample_count,avg_gross_return,avg_net_return,win_rate_gross,holdout_count_2025_onward,holdout_avg_gross_return
ETH,+1_to_+5bps,24,1334,0.0011964239104381494,-0.0018035760895618524,0.52023988005997002,127,-0.0025421110914870381
ETH,ge_+5bps,8,121,0.0030198765418616765,1.9876541861675302e-05,0.54545454545454541,0,
ETH,ge_+5bps,16,121,0.0030170320586556895,1.7032058655686755e-05,0.50413223140495866,0,
ETH,ge_+5bps,24,121,0.0046143927336851041,0.0016143927336851015,0.49586776859504134,0,
SOL,le_-5bps,8,63,0.018542628710496271,0.015542628710496269,0.55555555555555558,7,0.0036334783754943417
SOL,le_-5bps,16,63,0.018884549904203143,0.015884549904203148,0.52380952380952384,7,-0.0026888092752821607
SOL,le_-5bps,24,63,0.028204275611980446,0.025204275611980437,0.5714285714285714,7,-0.0029146140238646622
SOL,-5_to_-1bps,8,258,-0.000277019033751612,-0.0032770190337516134,0.47286821705426357,92,0.0034371225030164305
SOL,-5_to_-1bps,16,258,0.00035706843884208283,-0.0026429315611579195,0.4573643410852713,92,0.0017047846055325893
SOL,-5_to_-1bps,24,258,0.0015646672405033935,-0.0014353327594966085,0.48062015503875971,92,-0.00038345277162487299
SOL,-1_to_+1bps,8,1484,0.00047097259840486147,-0.0025290274015951396,0.49595687331536387,670,-0.00080131115931448519
SOL,-1_to_+1bps,16,1483,0.0014438328042882627,-0.0015561671957117398,0.50573162508428859,669,-0.00070495083434233977
SOL,-1_to_+1bps,24,1483,0.0022433649812913696,-0.00075663501870863281,0.50236008091705997,669,-0.00023339423342618026
SOL,+1_to_+5bps,8,1329,0.0027293619803982249,-0.00027063801960177682,0.50564334085778784,131,0.001931143791904352
SOL,+1_to_+5bps,16,1329,0.0046536386474951355,0.0016536386474951333,0.51166290443942819,131,0.0015480675409376627
SOL,+1_to_+5bps,24,1329,0.0062814054146907118,0.0032814054146907104,0.50639578630549287,131,0.0012648742505184485
SOL,ge_+5bps,8,145,0.015914949112866578,0.012914949112866579,0.59310344827586203,0,
SOL,ge_+5bps,16,145,0.020429944120924845,0.017429944120924842,0.61379310344827587,0,
SOL,ge_+5bps,24,145,0.023855310994908983,0.02085531099490898,0.6344827586206897,0,
XRP,le_-5bps,8,5,-0.0058638195892544596,-0.0088638195892544631,0.40000000000000002,0,
XRP,le_-5bps,16,5,-0.0064787198527454844,-0.0094787198527454871,0.40000000000000002,0,
XRP,le_-5bps,24,5,0.0077853486727556655,0.0047853486727556628,0.40000000000000002,0,
XRP,-5_to_-1bps,8,180,0.0041200279232009229,0.0011200279232009215,0.53333333333333333,79,0.0045300109047058078
