entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,note,asset
2020-07-09 00:00:00+00:00,2020-07-17 00:00:00+00:00,246.94,233.58,-0.05410221106341616,16609.89846420261,15687.699332402784,-0.055521057746821034,,ETH
2020-07-23 00:00:00+00:00,2020-08-26 00:00:00+00:00,263.75,382.91,0.4517914691943129,15664.16778340418,22706.993502234618,0.4496137819905215,,ETH
2020-10-12 00:00:00+00:00,2020-12-12 00:00:00+00:00,374.17,544.46,0.45511398562150895,22672.933011981266,32942.214367912355,0.4529313146430767,,ETH
2021-04-12 00:00:00+00:00,2021-05-18 00:00:00+00:00,2151.42,3282.25,0.5256202879958353,32892.80104636049,50106.65171843019,0.5233318575638415,,ETH
2021-07-29 00:00:00+00:00,2021-08-18 00:00:00+00:00,2300.9,3011.73,0.3089356338823938,50031.49174085255,65389.77035236075,0.3069722304315703,,ETH
2021-09-01 00:00:00+00:00,2021-09-11 00:00:00+00:00,3429.19,3208.85,-0.0642542407973895,65291.68569683221,61004.77337499748,-0.0656578594361934,,ETH
2021-10-07 00:00:00+00:00,2021-11-17 00:00:00+00:00,3574.88,4209.59,0.177547218368169,60913.266214934985,71620.65482232679,0.17578089754061677,,ETH
2022-03-23 00:00:00+00:00,2022-04-07 00:00:00+00:00,2969.64,3168.52,0.06697108066971084,71513.2238400933,76188.08791025502,0.06537062404870642,,ETH
2022-08-13 00:00:00+00:00,2022-08-20 00:00:00+00:00,1958.28,1609.0,-0.17836060216108013,76073.80577838965,62411.47811711441,-0.17959306125783847,,ETH
2022-09-11 00:00:00+00:00,2022-09-16 00:00:00+00:00,1774.12,1472.76,-0.16986449620093338,62317.86089993874,51654.67045057003,-0.1711096994566319,,ETH
2022-10-24 00:00:00+00:00,2022-11-09 00:00:00+00:00,1364.19,1334.78,-0.02155858054963024,51577.18844489418,50389.55958707155,-0.02302624267880582,,ETH
2022-12-03 00:00:00+00:00,2022-12-17 00:00:00+00:00,1295.58,1166.82,-0.09938405964896031,50313.97524769094,45245.59777830237,-0.10073498355948673,,ETH
2023-01-07 00:00:00+00:00,2023-02-10 00:00:00+00:00,1269.13,1545.35,0.2176451584944015,45177.72938163492,54927.927788138055,0.21581869075665994,,ETH
2023-02-16 00:00:00+00:00,2023-02-26 00:00:00+00:00,1674.92,1594.58,-0.04796647004036022,54845.53589645585,52136.46695831796,-0.04939452033529956,,ETH
2023-04-05 00:00:00+00:00,2023-04-22 00:00:00+00:00,1870.38,1848.77,-0.011553801901218002,52058.26225788048,51379.60622131863,-0.01303647119836615,,ETH
2023-05-29 00:00:00+00:00,2023-06-06 00:00:00+00:00,1908.64,1810.49,-0.05142405063291144,51302.536811986654,48591.3560325282,-0.05284691455696189,,ETH
2023-06-24 00:00:00+00:00,2023-07-23 00:00:00+00:00,1892.63,1866.52,-0.013795617738279604,48518.46899847941,47777.35305680943,-0.0152749243116721,,ETH
2023-09-29 00:00:00+00:00,2023-10-10 00:00:00+00:00,1653.0,1580.13,-0.044083484573502654,47705.687027224216,45534.2501279276,-0.04551735934664236,,ETH
2023-10-23 00:00:00+00:00,2023-11-22 00:00:00+00:00,1663.69,1933.01,0.161881119679748,45465.948752735705,52746.78840296441,0.16013829800022839,,ETH
2024-10-21 00:00:00+00:00,2024-10-26 00:00:00+00:00,2746.91,2440.63,-0.1114998307188804,52667.66822035997,46725.039281237536,-0.11283258097280191,,ETH
2024-11-10 00:00:00+00:00,2024-12-19 00:00:00+00:00,3126.2,3626.8,0.1601305098842046,46654.95172231568,54044.64418083769,0.15839031411937832,,ETH
