date,sp500,sma200_prior,risk_on_signal_close,risk_on_actionable
2022-04-22 00:00:00+00:00,4271.78,4496.932049999999,False,False
2022-04-25 00:00:00+00:00,4296.12,4496.68685,False,False
2022-04-26 00:00:00+00:00,4175.2,4496.3197,False,False
2022-04-27 00:00:00+00:00,4183.96,4495.27255,False,False
2022-04-28 00:00:00+00:00,4287.5,4494.3463,False,False
2022-04-29 00:00:00+00:00,4131.93,4493.9123,False,False
2022-05-02 00:00:00+00:00,4155.38,4492.7717999999995,False,False
2022-05-03 00:00:00+00:00,4175.48,4491.912899999999,False,False
2022-05-04 00:00:00+00:00,4300.17,4491.49785,False,False
2022-05-05 00:00:00+00:00,4146.87,4491.3834,False,False
2022-05-06 00:00:00+00:00,4123.34,4490.3243,False,False
2022-05-09 00:00:00+00:00,3991.24,4489.1035999999995,False,False
2022-05-10 00:00:00+00:00,4001.05,4487.000849999999,False,False
2022-05-11 00:00:00+00:00,3935.18,4484.8946000000005,False,False
2022-05-12 00:00:00+00:00,3930.08,4482.5632000000005,False,False
2022-05-13 00:00:00+00:00,4023.89,4480.2104,False,False
2022-05-16 00:00:00+00:00,4008.01,4478.234100000001,False,False
2022-05-17 00:00:00+00:00,4088.85,4476.29785,False,False
2022-05-18 00:00:00+00:00,3923.68,4474.8063,False,False
2022-05-19 00:00:00+00:00,3900.79,4472.308950000001,False,False
2022-05-20 00:00:00+00:00,3901.36,4469.799599999999,False,False
2022-05-23 00:00:00+00:00,3973.75,4467.1609,False,False
2022-05-24 00:00:00+00:00,3941.48,4464.847049999999,False,False
2022-05-25 00:00:00+00:00,3978.73,4462.3927,False,False
2022-05-26 00:00:00+00:00,4057.84,4460.1026,False,False
2022-05-27 00:00:00+00:00,4158.24,4458.1533,False,False
2022-05-31 00:00:00+00:00,4132.15,4456.64035,False,False
2022-06-01 00:00:00+00:00,4101.23,4454.9610999999995,False,False
2022-06-02 00:00:00+00:00,4176.82,4453.0687,False,False
2022-06-03 00:00:00+00:00,4108.54,4451.7124,False,False
2022-06-06 00:00:00+00:00,4121.43,4450.25375,False,False
2022-06-07 00:00:00+00:00,4160.68,4448.8319,False,False
2022-06-08 00:00:00+00:00,4115.77,4447.42695,False,False
2022-06-09 00:00:00+00:00,4017.82,4445.60815,False,False
2022-06-10 00:00:00+00:00,3900.86,4443.266100000001,False,False
2022-06-13 00:00:00+00:00,3749.63,4440.28945,False,False
2022-06-14 00:00:00+00:00,3735.48,4436.6876,False,False
2022-06-15 00:00:00+00:00,3789.99,4432.81815,False,False
2022-06-16 00:00:00+00:00,3666.77,4429.12415,False,False
2022-06-17 00:00:00+00:00,3674.84,4424.8446,False,False
2022-06-21 00:00:00+00:00,3764.79,4420.59835,False,False
2022-06-22 00:00:00+00:00,3759.89,4416.73755,False,False
2022-06-23 00:00:00+00:00,3795.73,4412.859850000001,False,False
2022-06-24 00:00:00+00:00,3911.74,4409.2383500000005,False,False
2022-06-27 00:00:00+00:00,3900.11,4406.2267,False,False
2022-06-28 00:00:00+00:00,3821.55,4403.260850000001,False,False
2022-06-29 00:00:00+00:00,3818.83,4400.075699999999,False,False
2022-06-30 00:00:00+00:00,3785.38,4396.8261999999995,False,False
2022-07-01 00:00:00+00:00,3825.33,4393.537850000001,False,False
2022-07-05 00:00:00+00:00,3831.39,4390.2609999999995,False,False
2022-07-06 00:00:00+00:00,3845.08,4387.0491999999995,False,False
2022-07-07 00:00:00+00:00,3902.62,4384.109649999999,False,False
2022-07-08 00:00:00+00:00,3899.38,4381.8341,False,False
2022-07-11 00:00:00+00:00,3854.43,4379.56005,False,False
2022-07-12 00:00:00+00:00,3818.8,4376.854,False,False
2022-07-13 00:00:00+00:00,3801.78,4373.7031,False,False
2022-07-14 00:00:00+00:00,3790.38,4370.4346,False,False
2022-07-15 00:00:00+00:00,3863.16,4367.17095,False,False
2022-07-18 00:00:00+00:00,3830.85,4364.7236,False,False
2022-07-19 00:00:00+00:00,3936.69,4362.08055,False,False
2022-07-20 00:00:00+00:00,3959.9,4360.2263,False,False
2022-07-21 00:00:00+00:00,3998.95,4358.2406,False,False
